"configuration","cost_per_use","scalar_registers","average_register_costs","tail_duplication","benchmark","cycles","text_size","data_size","bss_size","function_size","stack_frame_size","ldsp_stsp_count","compact_add_sub_count","full_add_sub_count","compact_xor_count","full_xor_count","compact_mov_count","full_mov_count","short_branch_count","long_branch_count","crc_table_exists","crc_table_size"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","sys_memcmp_p","5303","161","74","0","137","4","9","0","5","1","0","2","4","1","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","sys_strcmp","2715","220","280","0","196","4","13","10","4","1","0","11","2","4","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","sys_strcmp_p","5663","163","133","0","139","2","6","2","4","0","0","3","4","1","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","sys_strlen","3039","178","304","0","154","0","0","4","0","1","0","5","0","1","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","sys_strlen_p","7209","95","2","0","72","0","0","1","3","1","0","4","2","0","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","sys_strncat","2360","137","182","0","114","4","7","3","0","1","0","2","0","0","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","sys_strncat_p","3580","145","144","0","122","4","6","3","0","1","0","0","0","0","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","sys_strncpy","2291","212","115","0","188","4","4","4","1","1","0","5","2","1","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","sys_strncpy_p","3794","158","69","0","134","8","8","3","0","1","0","0","0","0","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","tail_calls","501299","87","4","0","38","0","0","0","0","1","1","0","1","1","0","False","0"
